Yeast gene	Human genes
PAC1	PAFAH1B1
GTR1	RRAGA
YMR171C	RANBP10
RAS2	KRAS
PAC2	TBCE
CDC73	CDC73
YAF9	YEATS4
YEL020C	HACL1
NAP1	NAP1L1
HTZ1	H2AFV
MON2	MON2
ARP8	ACTR8
MON1	MON1A
ARP6	ACTR6
ATP11	ATPAF1
YKU80	VCL
ORM1	ORMDL3
ORM2	ORMDL3
UBC4	N/A
UBC5	UBE2E2
UBC6	UBE2J2
UBC7	UBE2G2
YEF3	GCN1L1
CTF19	NASP
ERG5	CYP4V2
RPL16A	N/A
YUH1	UCHL3
ERG3	SC5DL
UBC8	UBE2H
RAD7	FBXL14
RAD6	UBE2A
RAD5	HLTF
RAD4	DAZAP2
RAD1	ERCC4
CHL1	N/A
PRP18	PRPF18
GIS1	ZNF56
RIM1	N/A
MAG2	RNF10
BUB2	TBC1D13
UBP8	N/A
CPR4	PPIA
HDA1	HDAC6
CPR1	PPIA
PET130	RAD51L3
POB3	SSRP1
RPN10	PSMD4
UBP15	USP7
TOP3	TOP3B
CHK1	CHEK1
TOP1	TOP1
RSC1	PBRM1
RSC2	PBRM1
HMT1	PRMT8
NHP6A	HMGB2
NHP6B	N/A
SWR1	N/A
BIM1	MAPRE3
PUT3	LDB1
MUS81	MUS81
AHA1	AHSA1
TAF14	YEATS4
HFM1	HELQ
HOS4	GLS2
HOS2	HDAC1
HOS3	HDAC7
HOS1	HDAC1
RIF2	PPP1R15A
FYV10	MAEA
TFP1	ATP6V1A
SET5	SMYD3
SET6	SMYD3
SET7	SETD3
SET2	N/A
SET3	MTA1
MEC3	SLC31A1
RNR3	RRM1
RNR1	RRM1
LEO1	LEO1
GIM5	PFDN5
GIM4	PFDN2
GIM3	PFDN4
PPH21	PPP2CA
RPN14	PAAF1
MUD1	SNRPA
GAL10	GALE
SAM2	MAT2A
SAM1	MAT2A
IRC20	PCGF1
HCM1	FOXA3
RPH1	KDM4D
RNH201	RNASEH2A
CAC2	CHAF1B
VPS21	RAB5A
RAI1	N/A
YKE2	N/A
YHP1	SHOX2
SPF1	ATP13A1
ILV1	SRR
MRS1	AMD1
PEP12	STX7
HAP5	POLE4
HSL1	SLC9A1
SIF2	TBL1XR1
VAM3	STX7
RPN2	PSMD1
RAD16	TTF2
RPN6	PSMD11
RAD14	XPA
RAD18	BRCA1
MTR4	SKIV2L2
RTG3	MLX
RTG2	GALE
SWD3	WDR5
SWD1	RBBP5
GRR1	FBXL20
MMS2	UBE2V2
EAF3	MORF4L1
UFD2	KCTD17
FKH1	FOXD2
VID22	PEX19
OPI3	PEMT
FUN30	SMARCAD1
KIP2	KIF2C
HRD3	SEL1L
SBA1	PTGES3
SPT8	GALE
PAC10	VBP1
PAC11	HOMER3
SPT3	SUPT3H
SPT4	N/A
HIR2	HIRA
CLB5	CCNE2
TEX1	THOC3
GLE2	RAE1
SUB1	SUB1
EXO1	EXO1
MIH1	CDC25C
ARX1	PA2G4
BUB1	BUB1
BUB3	RAE1
UBP6	USP14
UBP9	USP12
MRE11	MRE11A
PPH3	PPP4C
MAD2	MAD2L1
MAD3	BUB1B
MAD1	SWAP70
ISW1	CHD1L
ISW2	SMARCA5
DEG1	PUS3
PSY2	SMEK1
HAT1	HAT1
HAT2	RBBP4
MDM35	TRIAP1
DIN7	EXO1
HCH1	AHSA1
LTE1	N/A
SGS1	RECQL
ASF1	ASF1B
SLX5	MDK
SLX8	RNF10
WHI2	LDB1
PUS1	PUS3
SAS3	N/A
SAS2	MYST1
PAF1	PAF1
GCN1	GCN1L1
SSD1	DIS3
PDA1	PDHA1
BUD13	BUD13
DYN1	DYNC1H1
RAD57	RAD51
RAD55	RAD51L3
GON7	GP1BA
RAD52	RAD52
RAD51	RAD51
RAD50	RAD50
ERV46	ERGIC3
RLR1	THOC2
MSH1	MSH3
MSH2	MSH2
MSH3	MSH3
MSH4	MSH4
MSH5	N/A
