Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 318
#Entropy: 0.0
#Isologs:
ce	ce15969	Q8MXH7_CAEEL	C11D2.7	K07575	GO:0003723
dm	dm11644	CG5941	FBgn0029833	K07575	GO:0003723
mm	mm18652	Mcts1	ENSMUSG00000000355	K07575	GO:0003723
mm	mm19725	Mcts2	ENSMUSG00000042814		GO:0003723
sc	sc5022	TMA20	YER007C-A	K07575	GO:0003723
hs	hs18056		ENSG00000101898|NP_054779.1		

#Cluster id: 446
#Entropy: 0.0
#Isologs:
ce	ce2144	mlh-1	T28A8.7	K08734	GO:0005524|GO:0030983
mm	mm3491	Mlh1	ENSMUSG00000032498		GO:0032137|GO:0043566|GO:0005524|GO:0030983
sc	sc968	MLH1	YMR167W	K08734	GO:0016887|GO:0000404|GO:0030983|GO:0032139|GO:0032135|GO:0003690|GO:0003697|GO:0005524
hs	hs3908	MLH1	ENSG00000076242	K08734	GO:0032137|GO:0032407|GO:0003697|GO:0005515|GO:0005524

#Cluster id: 490
#Entropy: 0.811278
#Isologs:
ce	ce1026	MTR4_CAEEL	W08D2.7	K01529	GO:0008026|GO:0005524|GO:0003676|GO:0004386
dm	dm1398	l(2)35Df	FBgn0001986	K01509	GO:0004004|GO:0005524|GO:0003676
mm	mm1674	Skiv2l2	ENSMUSG00000016018	K01529	GO:0016787|GO:0016818|GO:0008026|GO:0004386|GO:0003676|GO:0000166|GO:0005524
sc	sc410	MTR4	YJL050W		GO:0016787|GO:0016818|GO:0008026|GO:0008143|GO:0034459|GO:0000166|GO:0003824|GO:0003676|GO:0004386|GO:0005524
sc	sc225	SKI2	YLR398C		GO:0016787|GO:0016818|GO:0008026|GO:0000166|GO:0003724|GO:0003723|GO:0003676|GO:0003677|GO:0004386|GO:0005524
hs	hs1986	SKIV2L2	ENSG00000039123	K01529	GO:0016787|GO:0016818|GO:0003676|GO:0008026|GO:0000166|GO:0005515|GO:0004386|GO:0005524

#Cluster id: 552
#Entropy: 0.721928
#Isologs:
ce	ce17535	fkb-1	F36H1.1	K09569	
ce	ce13468	fkb-4	ZC455.10		
dm	dm12654	CG14715	FBgn0037930	K09569	GO:0005528|GO:0003755
mm	mm20479	Fkbp2	ENSMUSG00000056629	K09569	GO:0016853|GO:0003755
sc	sc5512	FPR2	YDR519W	K01802	GO:0005528|GO:0016853|GO:0003755
hs	hs19470	FKBP2	ENSG00000173486|NP_004461.2	K09569	GO:0005528|GO:0003755|GO:0016853|GO:0005515

#Cluster id: 597
#Entropy: 0.0
#Isologs:
ce	ce3482	vha-13	Y49A3A.2	K02145	GO:0016820|GO:0046961|GO:0046933
dm	dm3821	Vha68-2	FBgn0020367	K02145	GO:0008553|GO:0046961|GO:0005524|GO:0046933
dm	dm3820	Vha68-1	FBgn0020368	K02145	GO:0008553|GO:0005524|GO:0046961|GO:0046933
dm	dm2719	CG5075	FBgn0032464	K02145	GO:0008553|GO:0046961|GO:0005524|GO:0046933
mm	mm5231	Atp6v1a	ENSMUSG00000052459	K02145	GO:0016787|GO:0016820|GO:0046933|GO:0000166|GO:0046961|GO:0005524
mm	mm8941				
sc	sc414	TFP1	YDL185W	K02145	GO:0016787|GO:0016820|GO:0046933|GO:0004518|GO:0004519|GO:0004520|GO:0000166|GO:0046961|GO:0003677|GO:0005524
hs	hs5618	ATP6V1A	ENSG00000114573	K02145	GO:0016787|GO:0016820|GO:0046933|GO:0000166|GO:0046961|GO:0005524

#Cluster id: 721
#Entropy: 0.0
#Isologs:
