#Cluster id: 6
#Entropy: 0.0
#Isologs:
ce	ce7408	T23O_CAEEL	C28H8.11		GO:0004833|GO:0005506|GO:0016491
ce	ce9426	gale-1	C47B2.6	K01784	GO:0016857|GO:0050662|GO:0003824|GO:0005488|GO:0003854|GO:0003978
dm	dm7996	CG12030	FBgn0035147	K01784	GO:0050662|GO:0003978
dm	dm10904	CG6685	FBgn0036062		
mm	mm11653	Gale	ENSMUSG00000028671	K01784	GO:0016857|GO:0016853|GO:0050662|GO:0003824|GO:0005488|GO:0003978
sc	sc1197	GAL10	YBR019C	K01784|K01785	GO:0050662|GO:0016614|GO:0016853|GO:0016616|GO:0004034|GO:0030246|GO:0003824|GO:0005488|GO:0003978|GO:0016491
sc	sc6115				
sc	sc1628	SPT8	YLR055C		GO:0017025|GO:0003702|GO:0003712
sc	sc1686	RTG2	YGL252C		GO:0030528
hs	hs12067	GALE	ENSG00000117308	K01784	GO:0050662|GO:0003978|GO:0005488|GO:0042803|GO:0016853

#Cluster id: 179
#Entropy: 0.0
#Isologs:
ce	ce15642	prdx-2	F09E5.15		GO:0016209|GO:0008379|GO:0016491
ce	ce14533	prdx-3	R07E5.2	K03386	GO:0016209|GO:0016491
dm	dm11337	Jafrac1	FBgn0040309	K03386	GO:0016209|GO:0008379|GO:0004602|GO:0004601
dm	dm10272	Jafrac2	FBgn0040308	K03386	GO:0016209|GO:0008379|GO:0004601
dm	dm11306	CG6888	FBgn0036490		GO:0008379
mm	mm17944	Prdx1	ENSMUSG00000028691	K03386	GO:0020037|GO:0016209|GO:0051920|GO:0005515|GO:0042803|GO:0004601|GO:0016491
sc	sc4886	TSA1	YML028W	K03386	GO:0016209|GO:0051082|GO:0051920|GO:0008379|GO:0043022|GO:0004601|GO:0016491
sc	sc4891	TSA2	YDR453C	K03386	GO:0016209|GO:0016491|GO:0008379|GO:0004601|GO:0051920
hs	hs17383	PRDX1	ENSG00000117450|NP_002565.1	K03386	GO:0004601|GO:0008379|GO:0005515|GO:0016491

#Cluster id: 202
#Entropy: 0.650022
#Isologs:
ce	ce7646	rad-51	Y43C5A.6	K04482	GO:0008094|GO:0017111|GO:0003697|GO:0000166|GO:0003684|GO:0005524
dm	dm8280	spn-A	FBgn0003479	K04482	GO:0008094|GO:0000150|GO:0003684|GO:0005524|GO:0005515
mm	mm11912	Rad51	ENSMUSG00000027323	K04482	GO:0008094|GO:0017111|GO:0000166|GO:0005515|GO:0003677|GO:0003684|GO:0005524
sc	sc3001	RAD51	YER095W	K04482	GO:0008094|GO:0003684|GO:0000150|GO:0017111|GO:0000166|GO:0003677|GO:0046983|GO:0046982|GO:0003697|GO:0005524
sc	sc2537	RAD57	YDR004W	K10958	GO:0008094|GO:0017111|GO:0000166|GO:0003677|GO:0046982|GO:0005524
hs	hs12357	RAD51	ENSG00000051180	K04482	GO:0008022|GO:0017111|GO:0003684|GO:0043142|GO:0042802|GO:0005515|GO:0003690|GO:0000166|GO:0003697|GO:0005524

#Cluster id: 301
#Entropy: 0.0
#Isologs:
ce	ce11018	Q18224_CAEEL	C26E6.3		
dm	dm8922	CG14213	FBgn0031047		GO:0005488
dm	dm9205	CG9573	FBgn0032089		
dm	dm9052	CG2053	FBgn0039887		
mm	mm14222	Rqcd1	ENSMUSG00000026174		GO:0005488|GO:0005515
sc	sc3234	CAF40	YNL288W		GO:0005488
hs	hs14028	RQCD1	ENSG00000144580		GO:0005515

#Cluster id: 500
#Entropy: 0.0
#Isologs:
mm	mm17787	AC108421.1	ENSMUSG00000062083		
