Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 185
#Entropy: 1.37095
#Isologs:
ce	ce8184	IDH3B_CAEEL	C37E2.1	K00030	GO:0004449|GO:0051287|GO:0000287|GO:0016616
dm	dm7622	CG6439	FBgn0038922	K00030	GO:0004449|GO:0000287|GO:0051287
dm	dm7523	A16	FBgn0028965		GO:0003682
mm	mm10403	Idh3b	ENSMUSG00000027406		GO:0004449|GO:0016491
sc	sc3352	IDH1	YNL037C	K00030	GO:0004449|GO:0016616|GO:0051287|GO:0000287|GO:0003723|GO:0046872|GO:0016491
sc	sc3253	LYS12	YIL094C	K05824	GO:0016616|GO:0051287|GO:0000287|GO:0047046|GO:0046872|GO:0016491
sc	sc3322	LEU2	YCL018W	K00052	GO:0046872|GO:0016616|GO:0051287|GO:0000287|GO:0003862|GO:0016491
hs	hs10917	IDH3B	ENSG00000101365|NP_777280.1		GO:0016491|GO:0016616|GO:0051287|GO:0000287|GO:0004449|GO:0009055

#Cluster id: 212
#Entropy: 0.0
#Isologs:
ce	ce7172	Q21032_CAEEL	F59B8.2	K00031	GO:0051287|GO:0000287|GO:0016616|GO:0004450
dm	dm5802	Idh	FBgn0001248	K00031	GO:0004450|GO:0000287|GO:0051287
mm	mm9367	Idh1	ENSMUSG00000025950		GO:0050661|GO:0016616|GO:0051287|GO:0000287|GO:0004450|GO:0046872|GO:0016491
sc	sc2805	IDP1	YDL066W	K00031	GO:0016616|GO:0051287|GO:0000287|GO:0004450|GO:0046872|GO:0016491
hs	hs10139	IDH1	ENSG00000138413|NP_005887.2		GO:0016616|GO:0051287|GO:0000287|GO:0004450|GO:0042803|GO:0016491

#Cluster id: 265
#Entropy: 1.0
#Isologs:
ce	ce12569				
ce	ce15208	O01987_CAEEL	Y48E1B.10		
dm	dm8136	CG15185	FBgn0037449		
mm	mm10056	Map2k4	ENSMUSG00000033352	K04430	GO:0031435|GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004713|GO:0005515|GO:0004672|GO:0008545|GO:0004708|GO:0005524
mm	mm8934				
hs	hs12645	JUN	ENSG00000177606	K04448	GO:0003700|GO:0008134|GO:0003713|GO:0003705|GO:0010843|GO:0016564|GO:0070412|GO:0016563|GO:0005515|GO:0003677|GO:0005100|GO:0003690|GO:0046982|GO:0003702

#Cluster id: 276
#Entropy: 0.0
#Isologs:
ce	ce6566	O17643_CAEEL	C34F6.8	K00031	GO:0051287|GO:0000287|GO:0016616|GO:0004450
mm	mm8142	Idh2	ENSMUSG00000030541	K00031	GO:0016616|GO:0051287|GO:0000287|GO:0004450|GO:0046872|GO:0016491
sc	sc2919	IDP2	YLR174W	K00031	GO:0016616|GO:0051287|GO:0000287|GO:0004450|GO:0046872|GO:0016491
sc	sc2863	IDP3	YNL009W	K00031	GO:0016616|GO:0051287|GO:0000287|GO:0004450|GO:0046872|GO:0016491
hs	hs9130	IDH2	ENSG00000182054	K00031	GO:0051287|GO:0000287|GO:0004450|GO:0016616|GO:0016491

#Cluster id: 346
#Entropy: 0.0
#Isologs:
mm	mm18365	Kras	ENSMUSG00000030265		GO:0019002|GO:0019003|GO:0003924|GO:0030275
sc	sc3672	RAS2	YNL098C	K07974	GO:0000166|GO:0003924|GO:0005525
hs	hs17772	KRAS	ENSG00000133703		GO:0003924|GO:0000166|GO:0019002|GO:0019003|GO:0005515|GO:0030275|GO:0005525

#Cluster id: 446
#Entropy: 0.0
#Isologs:
ce	ce2144	mlh-1	T28A8.7	K08734	GO:0005524|GO:0030983
mm	mm3491	Mlh1	ENSMUSG00000032498		GO:0032137|GO:0043566|GO:0005524|GO:0030983
sc	sc968	MLH1	YMR167W	K08734	GO:0016887|GO:0000404|GO:0030983|GO:0032139|GO:0032135|GO:0003690|GO:0003697|GO:0005524
hs	hs3908	MLH1	ENSG00000076242	K08734	GO:0032137|GO:0032407|GO:0003697|GO:0005515|GO:0005524

#Cluster id: 447
#Entropy: 0.0
#Isologs:
ce	ce8957	IDH3A_CAEEL	F43G9.1	K00030	GO:0004449|GO:0051287|GO:0000287|GO:0016616
ce	ce8386	Q95YD8_CAEEL	C30F12.7	K00030	GO:0004449|GO:0051287|GO:0000287|GO:0016616
ce	ce7626	Q20049_CAEEL	F35G12.2	K00030	GO:0004449|GO:0051287|GO:0000287|GO:0016616
dm	dm7495	l(1)G0156	FBgn0027291	K00030	GO:0051287|GO:0004449|GO:0000287
dm	dm2883	CG32026	FBgn0052026	K00030	GO:0004449|GO:0000287|GO:0051287
dm	dm7222	CG3483	FBgn0035005	K00030	GO:0051287|GO:0004449|GO:0000287
dm	dm7653				
dm	dm7479	CG7755	FBgn0034105	K00030	GO:0004449|GO:0000287|GO:0051287
mm	mm11009	Idh3a	ENSMUSG00000032279	K00030	GO:0046872|GO:0016616|GO:0051287|GO:0000287|GO:0004449|GO:0016491
sc	sc3269	IDH2	YOR136W	K00030	GO:0046872|GO:0016616|GO:0051287|GO:0000287|GO:0003723|GO:0004449|GO:0016491
hs	hs11471	IDH3A	ENSG00000166411	K00030	GO:0051287|GO:0000287|GO:0004449|GO:0016616|GO:0016491

#Cluster id: 852
#Entropy: 0.0
#Isologs:
ce	ce9506	hrp-1	F42A6.7		GO:0003676|GO:0000166
dm	dm7707	Hrb98DE	FBgn0001215		GO:0043565|GO:0003729|GO:0000166
dm	dm5772	Rb97D	FBgn0004903		GO:0003729|GO:0003676|GO:0000166
mm	mm11867	Hnrnpa2b1	ENSMUSG00000004980		GO:0003676|GO:0003723|GO:0005515|GO:0000166
mm	mm11524				
sc	sc2023	HRP1	YOL123W		GO:0000166|GO:0003723|GO:0003676|GO:0003729
hs	hs11889	HNRNPA2B1	ENSG00000122566		GO:0043047|GO:0003723|GO:0005515|GO:0000166

#Cluster id: 1062
#Entropy: 0.0
